mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
588694e59b10,1718436756.859117,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-143-213j),(-179-110j),(-182-1j),(-141+224j),(7+381j),(205+484j),(399+498j),(579+424j),(696+316j),(758+169j),(723+3j),(610-126j),(439-228j),(220-259j),(-35-231j),(-272-124j),(-492+46j),(-632+254j),(-727+463j),(-738+655j),(-658+852j),(-520+954j),(-358+972j),(-171+901j),(-7+740j),(133+508j),(170+237j),(64+14j),(8+1j),(175-32j),(333-272j),(377-525j),(325-732j),(216-903j),(109-976j),(-6-1013j),(-126-979j),(-231-905j),(-328-783j),(-420-607j),(-475-402j),(-465-177j),(-410+44j),(-301+225j),(-177+389j),(-4+479j),(135+518j),(274+512j),(406+457j),(518+336j),(574+201j),(573+36j),(522-156j),(413-308j),(210-422j),(92-428j),(10245+0j),(-8960-32640j),0j,(-635-1060j)
588694e59b10,1718436757.6598985,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-489+499j),(-196+667j),(126+669j),(426+511j),(537+237j),(505-39j),(319-213j),(77-253j),(-154-145j),(-300+73j),(-299+361j),(-168+595j),(78+767j),(371+804j),(645+682j),(830+449j),(872+162j),(745-106j),(535-278j),(242-313j),(-47-197j),(-225+47j),(-263+359j),(-115+649j),(150+824j),(520+764j),(773+428j),(603-49j),(8+1j),(-66+584j),(385+682j),(645+451j),(654+178j),(499-68j),(267-186j),(26-170j),(-182-62j),(-311+137j),(-347+350j),(-267+579j),(-81+731j),(165+783j),(413+706j),(590+532j),(687+284j),(651+10j),(534-203j),(334-349j),(95-408j),(-148-347j),(-330-190j),(-412+30j),(-362+281j),(-189+481j),(123+543j),(386+431j),(10245+0j),(-9216-32640j),0j,(-635-1060j)
588694e59b10,1718436757.8819256,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-14-630j),(-113-645j),(-218-633j),(-359-554j),(-407-411j),(-419-267j),(-349-123j),(-246+29j),(-108+163j),(58+288j),(235+396j),(394+458j),(566+508j),(691+537j),(756+523j),(794+487j),(769+429j),(669+321j),(560+217j),(377+78j),(179-80j),(-47-213j),(-266-342j),(-493-429j),(-685-465j),(-833-382j),(-852-195j),(-593+55j),(8+1j),(346-473j),(205-750j),(60-784j),-663j,(-71-493j),(-88-293j),(-101-100j),(-132+97j),(-158+274j),(-182+437j),(-186+588j),(-188+689j),(-165+756j),(-139+786j),(-94+766j),(-36+737j),(44+631j),(102+555j),(168+444j),(237+335j),(311+195j),(357+66j),(384-72j),(375-228j),(336-367j),(218-490j),(127-515j),(10249+0j),(-9216-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436758.0559793,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-623-161j),(-661+136j),(-546+429j),(-232+632j),(98+598j),(326+392j),(382+118j),(258-125j),(8-246j),(-273-193j),(-500+10j),(-565+329j),(-468+661j),(-219+889j),(113+957j),(448+858j),(658+613j),(731+308j),(633+11j),(391-190j),(63-223j),(-208-59j),(-362+237j),(-313+579j),(-50+851j),(374+860j),(707+542j),(605+17j),(8+1j),(-100+583j),(389+711j),(679+443j),(694+127j),(510-135j),(248-228j),(-7-189j),(-192-16j),(-263+204j),(-221+458j),(-41+650j),(220+719j),(489+647j),(690+443j),(801+187j),(757-114j),(569-365j),(324-492j),(50-492j),(-193-379j),(-346-147j),(-361+97j),(-233+332j),(10+463j),(293+425j),(520+190j),(538-68j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436758.2452002,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(83+228j),(156+129j),(193+6j),(191-203j),(103-387j),(-28-522j),(-175-620j),(-337-623j),(-459-599j),(-542-527j),(-577-408j),(-549-270j),(-456-101j),(-318+53j),(-126+179j),(90+296j),(331+368j),(575+405j),(756+407j),(934+377j),(1024+276j),(1073+166j),(1037+78j),(927-31j),(754-130j),(489-193j),(234-185j),(18-64j),(8+1j),(-11-174j),(-218-382j),(-436-479j),(-646-522j),(-793-481j),(-889-461j),(-969-400j),(-949-342j),(-935-260j),(-873-146j),(-765-18j),(-624+111j),(-454+227j),(-268+314j),(-82+380j),(102+408j),(271+400j),(394+358j),(491+302j),(570+228j),(619+104j),(617-2j),(572-133j),(483-274j),(350-389j),(162-448j),(18-436j),(10245+0j),(-8704-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436758.8865945,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-650+62j),(-642+196j),(-604+308j),(-519+416j),(-398+447j),(-266+437j),(-136+384j),(14+286j),(162+172j),(309+52j),(454-92j),(579-208j),(688-318j),(774-391j),(810-433j),(810-453j),(760-420j),(648-379j),(499-318j),(305-252j),(56-190j),(-187-122j),(-425-83j),(-655-26j),(-836+28j),(-911+143j),(-838+272j),(-496+331j),(8+1j),(130-565j),(-68-786j),(-175-758j),(-173-645j),(-168-458j),(-135-275j),(-113-82j),(-132+106j),(-146+284j),(-198+434j),(-242+576j),(-275+669j),(-293+739j),(-296+751j),(-301+736j),(-254+685j),(-178+628j),(-122+540j),(-44+469j),(57+401j),(169+314j),(257+241j),(345+155j),(428+54j),(490-48j),(493-197j),(442-297j),(10245+0j),(-9216-32640j),0j,(-635-1060j)
588694e59b10,1718436759.748771,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(238-574j),(-42-654j),(-342-586j),(-587-309j),(-598+17j),(-430+272j),(-167+355j),(86+261j),(224+36j),(225-237j),(31-493j),(-244-602j),(-584-546j),(-840-338j),(-960-22j),(-916+317j),(-715+562j),(-378+670j),(-87+600j),(108+380j),(176+68j),(41-206j),(-224-383j),(-575-344j),(-848-125j),(-904+291j),(-625+657j),(-89+610j),(8+1j),(-579-155j),(-743+303j),(-514+615j),(-206+648j),(47+501j),(163+259j),(132+19j),(4-180j),(-227-254j),(-455-228j),(-653-63j),(-745+177j),(-694+467j),(-510+683j),(-224+789j),(78+763j),(313+587j),(455+352j),(471+92j),(373-139j),(174-304j),(-68-340j),(-285-247j),(-437-27j),(-422+238j),(-219+477j),(21+511j),(10245+0j),(-8960-32640j),(1152+0j),(-635-1060j)
588694e59b10,1718436759.8740194,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(448+536j),(529+433j),(576+327j),(615+188j),(576+64j),(483-41j),(359-122j),(191-183j),(3-220j),(-186-257j),(-395-273j),(-561-287j),(-724-287j),(-834-293j),(-883-285j),(-896-267j),(-832-237j),(-724-184j),(-563-120j),(-371-31j),(-145+92j),(100+201j),(311+321j),(538+418j),(710+482j),(835+427j),(846+270j),(606+13j),(8+1j),(-426+393j),(-383+685j),(-270+712j),(-204+617j),(-113+443j),(-41+263j),(36+79j),(142-90j),(245-245j),(353-362j),(448-472j),(513-535j),(553-593j),(560-595j),(547-595j),(484-558j),(387-516j),(297-461j),(195-411j),(79-374j),(-53-318j),(-167-275j),(-277-220j),(-372-142j),(-462-48j),(-499+97j),(-498+210j),(10245+0j),(-9216-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436760.6769292,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-609-36j),(-652+85j),(-657+214j),(-552+371j),(-407+442j),(-238+445j),(-84+388j),(79+274j),(217+115j),(338-64j),(431-267j),(489-452j),(505-633j),(499-765j),(466-851j),(396-882j),(319-842j),(199-749j),(86-601j),(-28-412j),(-152-169j),(-241+90j),(-322+334j),(-354+585j),(-330+800j),(-204+923j),(3+898j),(209+570j),(8+1j),(-555-197j),(-805+26j),(-765+182j),(-639+235j),(-437+236j),(-250+203j),(-51+149j),(151+114j),(337+55j),(506+17j),(649-44j),(749-89j),(811-154j),(810-207j),(789-266j),(699-314j),(588-353j),(458-369j),(321-384j),(174-391j),(12-383j),(-144-351j),(-287-301j),(-423-200j),(-511-76j),(-547+113j),(-484+209j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718436760.8800814,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-587+78j),(-614+213j),(-595+349j),(-466+482j),(-308+527j),(-142+498j),(7+406j),(144+255j),(243+70j),(324-131j),(365-349j),(371-547j),(343-737j),(299-864j),(237-932j),(161-953j),(89-899j),(-6-786j),(-81-623j),(-141-400j),(-199-128j),(-218+151j),(-222+415j),(-175+661j),(-85+864j),(84+945j),(279+854j),(380+474j),(8+1j),(-594-6j),(-748+288j),(-671+432j),(-525+446j),(-334+383j),(-154+279j),(21+166j),(190+57j),(350-60j),(486-159j),(600-277j),(662-366j),(690-447j),(669-503j),(622-546j),(533-566j),(397-555j),(273-529j),(134-484j),(-9-431j),(-168-355j),(-285-268j),(-396-152j),(-476+1j),(-506+156j),(-455+345j),(-348+410j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
