mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
588694e59b10,1718438015.706897,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(52+41j),(93+68j),(150+85j),(269+84j),(376+38j),(460-22j),(539-94j),(571-161j),(582-249j),(556-308j),(481-358j),(381-374j),(236-362j),(102-305j),(-45-221j),(-198-109j),(-320+32j),(-431+183j),(-506+310j),(-565+446j),(-537+564j),(-514+641j),(-444+688j),(-325+694j),(-197+658j),(-16+537j),(110+359j),(134+112j),(8+1j),(-29+116j),(163+188j),(338+156j),(499+88j),(595-18j),(665-96j),(716-168j),(697-243j),(669-314j),(602-379j),(475-440j),(333-478j),(176-491j),(13-464j),(-149-429j),(-295-363j),(-420-265j),(-502-171j),(-565-78j),(-597+27j),(-575+158j),(-516+265j),(-422+363j),(-271+438j),(-116+454j),(61+400j),(155+342j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438015.9579668,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-664-336j),(-746-103j),(-735+128j),(-635+269j),(-500+330j),(-347+330j),(-189+269j),(-42+151j),(79-19j),(177-206j),(259-411j),(300-605j),(301-804j),(274-954j),(221-1048j),(145-1094j),(54-1073j),(-56-985j),(-137-850j),(-219-643j),(-286-391j),(-316-107j),(-321+171j),(-276+445j),(-170+678j),(5+812j),(231+779j),(382+446j),(8+1j),(-632+70j),(-792+454j),(-716+684j),(-560+759j),(-354+753j),(-163+677j),(25+565j),(195+433j),(355+285j),(491+131j),(606-40j),(680-197j),(698-355j),(667-484j),(594-582j),(479-652j),(314-658j),(164-634j),(-10-578j),(-188-487j),(-361-336j),(-479-165j),(-561+40j),(-581+272j),(-518+497j),(-327+704j),(-52+753j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438018.3251112,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-20+74j),(-26+118j),(-23+174j),(19+290j),(99+379j),(186+442j),(284+485j),(387+481j),(459+459j),(509+414j),(524+330j),(508+232j),(454+101j),(352-18j),(224-129j),(70-242j),(-113-331j),(-305-386j),(-463-421j),(-621-426j),(-749-374j),(-825-297j),(-856-229j),(-825-110j),(-753+33j),(-590+178j),(-352+257j),(-74+197j),(8+1j),(-143-7j),(-176+211j),(-95+396j),(47+534j),(200+613j),(302+653j),(410+652j),(474+623j),(540+554j),(581+464j),(605+326j),(588+172j),(544+14j),(470-144j),(377-291j),(270-416j),(138-517j),(16-574j),(-105-610j),(-226-603j),(-354-553j),(-440-473j),(-516-355j),(-564-185j),(-543-14j),(-447+165j),(-362+250j),(10245+0j),(-8192-32640j),(1408+0j),(-635-1060j)
588694e59b10,1718438019.19258,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(15-22j),(60+39j),(134+74j),(244+83j),(347+41j),(436-10j),(507-78j),(539-167j),(553-230j),(530-287j),(461-344j),(358-353j),(225-346j),(89-298j),(-54-214j),(-201-92j),(-331+55j),(-422+226j),(-496+374j),(-528+520j),(-494+656j),(-433+762j),(-363+797j),(-224+798j),(-83+733j),(95+581j),(202+370j),(175+94j),(8+1j),(-8+125j),(207+137j),(386+57j),(512-73j),(578-227j),(610-331j),(609-445j),(573-494j),(509-554j),(411-579j),(266-584j),(129-560j),(-24-504j),(-156-411j),(-276-299j),(-384-180j),(-449-45j),(-492+71j),(-511+177j),(-498+296j),(-421+420j),(-340+495j),(-216+544j),(-216+544j),(111+512j),(264+384j),(341+261j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438019.3437805,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-494-643j),(-563-505j),(-595-371j),(-592-244j),(-528-145j),(-426-65j),(-301+7j),(-131+63j),(58+103j),(244+155j),(457+188j),(632+232j),(810+268j),(952+293j),(1040+300j),(1083+290j),(1065+262j),(994+181j),(874+118j),(724+14j),(511-130j),(293-272j),(80-410j),(-175-536j),(-395-645j),(-591-615j),(-725-460j),(-604-131j),(8+1j),(518-410j),(479-824j),(325-959j),(193-948j),(34-827j),(-93-698j),(-218-542j),(-338-395j),(-469-247j),(-590-129j),(-697+4j),(-776+104j),(-821+195j),(-820+260j),(-794+305j),(-720+338j),(-615+362j),(-501+364j),(-369+378j),(-216+397j),(-28+404j),(142+391j),(317+363j),(495+289j),(660+175j),(766-28j),(785-220j),(10245+0j),(-8704-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438020.3695776,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-28-12j),(48+10j),(125-1j),(225-17j),(310-69j),(379-149j),(432-232j),(433-342j),(419-416j),(372-478j),(289-516j),(196-507j),(74-464j),(-30-366j),(-127-235j),(-204-70j),(-239+119j),(-232+304j),(-206+478j),(-140+622j),(-17+741j),(114+785j),(222+775j),(344+699j),(429+563j),(477+352j),(420+112j),(208-71j),(8+1j),(71+126j),(247+22j),(314-161j),(292-330j),(219-496j),(134-596j),(29-659j),(-71-679j),(-186-652j),(-287-603j),(-393-499j),(-475-356j),(-521-190j),(-521-7j),(-492+163j),(-426+318j),(-312+457j),(-193+542j),(-65+592j),(83+597j),(244+552j),(359+466j),(444+330j),(491+147j),(491+147j),(343-216j),(238-304j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438020.649965,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(36+20j),(-44+23j),(-115+58j),(-198+109j),(-257+194j),(-291+290j),(-305+389j),(-263+486j),(-224+544j),(-164+584j),(-77+589j),(10+546j),(99+461j),(161+341j),(203+191j),(215+13j),(191-177j),(124-348j),(48-493j),(-53-611j),(-191-687j),(-328-699j),(-424-677j),(-517-569j),(-565-417j),(-554-201j),(-432+4j),(-184+126j),(8+1j),(-105-114j),(-258+34j),(-289+227j),(-229+395j),(-122+544j),(-20+630j),(103+674j),(200+675j),(317+631j),(413+554j),(501+417j),(553+266j),(562+81j),(532-101j),(461-266j),(366-413j),(229-524j),(97-588j),(-45-614j),(-190-607j),(-348-531j),(-448-425j),(-510-273j),(-527-75j),(-475+108j),(-330+273j),(-205+351j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438021.3221889,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-45-37j),(-91-46j),(-139-50j),(-219-78j),(-219-78j),(-398-41j),(-484+14j),(-529+105j),(-545+194j),(-533+272j),(-475+349j),(-386+390j),(-263+397j),(-137+361j),(-3+275j),(120+149j),(200-14j),(242-201j),(246-368j),(207-536j),(100-675j),(-26-751j),(-163-765j),(-307-700j),(-422-571j),(-488-352j),(-436-107j),(-214+84j),(8+1j),(-74-132j),(-238-6j),(-270+186j),(-209+369j),(-83+517j),(44+599j),(174+626j),(307+598j),(425+526j),(513+420j),(571+268j),(579+88j),(536-90j),(437-250j),(316-385j),(160-476j),(-23-527j),(-175-517j),(-320-468j),(-440-380j),(-534-233j),(-563-81j),(-535+84j),(-436+255j),(-278+363j),(-68+398j),(64+370j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718438022.1823914,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-753+17j),(-722+185j),(-649+318j),(-560+365j),(-467+347j),(-359+302j),(-251+228j),(-122+126j),(15+6j),(173-104j),(334-224j),(492-321j),(646-405j),(777-460j),(872-483j),(934-481j),(937-459j),(889-439j),(791-395j),(645-366j),(430-354j),(199-354j),(-32-351j),(-285-360j),(-515-361j),(-691-279j),(-747-127j),(-552+91j),(8+1j),(338-516j),(214-892j),(66-1001j),(-32-985j),(-147-875j),(-220-749j),(-292-601j),(-380-457j),(-484-322j),(-594-190j),(-693-55j),(-768+49j),(-812+137j),(-820+208j),(-811+260j),(-746+312j),(-630+359j),(-526+379j),(-393+410j),(-236+447j),(-43+474j),(124+478j),(304+477j),(485+427j),(640+342j),(768+165j),(777-46j),(10245+0j),(-8704-32640j),(1152+0j),(-635-1060j)
588694e59b10,1718438022.3524718,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-22+59j),(12+115j),(60+160j),(118+237j),(203+277j),(294+301j),(386+301j),(476+254j),(531+206j),(554+138j),(538+48j),(476-30j),(380-109j),(259-142j),(109-150j),(-56-122j),(-224-58j),(-361+41j),(-478+144j),(-553+275j),(-564+430j),(-525+563j),(-456+630j),(-317+674j),(-157+663j),(42+564j),(177+376j),(176+104j),(8+1j),(-31+126j),(159+147j),(325+60j),(423-87j),(460-264j),(451-397j),(403-523j),(320-591j),(215-643j),(79-653j),(-83-616j),(-232-524j),(-361-388j),(-448-229j),(-496-42j),(-504+139j),(-440+307j),(-369+439j),(-257+536j),(-116+597j),(64+599j),(200+542j),(318+436j),(413+268j),(431+95j),(364-98j),(288-197j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
