mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
588694e59b10,1718437733.050562,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-39+109j),(-34+158j),(-7+209j),(73+258j),(159+273j),(245+270j),(315+254j),(375+204j),(408+159j),(414+92j),(382+15j),(315-57j),(221-139j),(95-189j),(-58-221j),(-225-233j),(-401-210j),(-571-153j),(-697-92j),(-806-5j),(-845+124j),(-843+237j),(-781+307j),(-664+377j),(-505+416j),(-278+399j),(-76+305j),(56+105j),(8+1j),(1+130j),(218+241j),(426+255j),(629+216j),(771+115j),(858+44j),(921-52j),(907-99j),(891-170j),(822-231j),(712-293j),(568-327j),(418-337j),(255-317j),(97-289j),(-65-234j),(-197-153j),(-305-66j),(-391+24j),(-437+132j),(-438+251j),(-413+346j),(-336+437j),(-215+508j),(-79+534j),(88+495j),(172+437j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437734.9601214,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-492+103j),(-413+218j),(-314+299j),(-204+322j),(-104+299j),(7+255j),(112+186j),(224+96j),(334-5j),(464-94j),(585-198j),(698-299j),(783-388j),(851-449j),(875-493j),(864-524j),(789-515j),(686-525j),(518-501j),(326-499j),(57-479j),(-198-459j),(-456-451j),(-723-422j),(-964-379j),(-1090-215j),(-1065-3j),(-703+224j),(8+1j),(333-682j),(117-1087j),(-58-1123j),(-129-1050j),(-196-824j),(-204-619j),(-211-379j),(-256-129j),(-308+96j),(-389+313j),(-466+513j),(-534+668j),(-596+784j),(-635+828j),(-682+881j),(-650+853j),(-600+839j),(-529+761j),(-445+694j),(-315+622j),(-149+543j),(-1+446j),(156+341j),(310+211j),(423+65j),(486-135j),(437-305j),(10245+0j),(-8704-32640j),0j,(-635-1060j)
588694e59b10,1718437735.4474897,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(132-13j),(151-43j),(167-86j),(163-190j),(129-281j),(71-355j),(7-409j),(-76-426j),(-142-417j),(-202-382j),(-259-309j),(-293-210j),(-307-81j),(-281+57j),(-231+205j),(-152+358j),(-47+497j),(84+602j),(193+682j),(316+732j),(452+724j),(533+666j),(579+588j),(599+454j),(574+280j),(482+83j),(315-73j),(76-117j),(8+1j),(153-16j),(231-253j),(212-473j),(123-644j),(6-781j),(-76-847j),(-149-881j),(-215-874j),(-272-824j),(-324-754j),(-377-639j),(-395-506j),(-392-361j),(-366-199j),(-325-49j),(-283+101j),(-199+244j),(-117+340j),(-26+419j),(66+472j),(192+482j),(283+464j),(381+403j),(473+283j),(508+146j),(487-22j),(442-108j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437735.9520538,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(158-59j),(121-167j),(41-250j),(-104-311j),(-253-280j),(-384-202j),(-471-81j),(-494+77j),(-463+212j),(-372+317j),(-226+381j),(-71+365j),(89+292j),(212+150j),(274-37j),(264-254j),(181-467j),(10-628j),(-173-727j),(-381-740j),(-590-653j),(-755-496j),(-807-309j),(-782-80j),(-656+119j),(-427+271j),(-169+278j),(33+123j),(8+1j),(4+128j),(249+202j),(478+130j),(645-38j),(720-264j),(709-452j),(643-644j),(516-737j),(355-823j),(177-810j),(-12-741j),(-167-614j),(-272-433j),(-306-231j),(-266-30j),(-177+146j),(-40+257j),(115+311j),(262+314j),(407+245j),(501+114j),(540-46j),(498-198j),(389-347j),(235-447j),(23-455j),(-119-402j),(10245+0j),(-8448-32640j),0j,(-635-1060j)
588694e59b10,1718437736.9715846,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-112+134j),(-60+171j),(-12+202j),(59+261j),(133+298j),(208+316j),(281+319j),(335+289j),(367+257j),(388+209j),(382+134j),(346+52j),(285-49j),(198-149j),(97-260j),(-27-364j),(-160-462j),(-301-518j),(-412-583j),(-507-617j),(-602-607j),(-667-566j),(-674-516j),(-670-408j),(-606-267j),(-490-96j),(-330+40j),(-92+95j),(8+1j),(-135+14j),(-233+240j),(-252+452j),(-210+636j),(-157+783j),(-121+871j),(-78+951j),(-62+961j),(-17+958j),(14+901j),(75+814j),(131+719j),(177+585j),(216+430j),(238+270j),(272+100j),(271-55j),(261-179j),(247-297j),(211-403j),(142-496j),(69-548j),(-24-561j),(-147-539j),(-251-487j),(-349-367j),(-388-288j),(10245+0j),(-8192-32640j),0j,(-635-1060j)
588694e59b10,1718437737.6792626,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(393+174j),(394+44j),(360-70j),(273-176j),(161-223j),(32-223j),(-92-178j),(-195-85j),(-292+35j),(-347+165j),(-373+320j),(-365+458j),(-318+589j),(-242+693j),(-145+736j),(-30+741j),(77+692j),(191+591j),(266+445j),(315+259j),(323+34j),(276-191j),(203-398j),(61-583j),(-104-722j),(-318-713j),(-499-560j),(-483-211j),(8+1j),(443-316j),(368-677j),(184-786j),(37-757j),(-86-613j),(-153-447j),(-178-261j),(-176-66j),(-140+116j),(-85+298j),(-5+460j),(98+570j),(211+646j),(316+665j),(419+667j),(490+595j),(537+492j),(548+385j),(530+250j),(485+110j),(397-35j),(277-143j),(134-219j),(-35-247j),(-195-216j),(-334-96j),(-383+42j),(10245+0j),(-8448-32640j),0j,(-635-1060j)
588694e59b10,1718437737.83252,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-157-420j),(-258-326j),(-320-215j),(-337-80j),(-292+29j),(-206+123j),(-91+182j),(53+196j),(199+175j),(340+127j),(469+45j),(570-50j),(641-184j),(662-304j),(648-400j),(588-499j),(476-548j),(325-569j),(175-535j),(-1-455j),(-179-318j),(-325-138j),(-441+52j),(-499+275j),(-486+505j),(-367+677j),(-142+729j),(135+498j),(8+1j),(-521-152j),(-774+123j),(-758+338j),(-632+448j),(-453+474j),(-277+431j),(-105+350j),(53+228j),(186+90j),(305-61j),(393-226j),(442-375j),(449-513j),(409-624j),(343-715j),(243-745j),(123-736j),(8-681j),(-98-603j),(-196-478j),(-273-321j),(-297-159j),(-284+13j),(-213+183j),(-92+299j),(88+353j),(242+318j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437737.9465451,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-111+148j),(-16+201j),(86+223j),(213+231j),(337+186j),(427+107j),(489+16j),(498-93j),(482-186j),(422-269j),(317-329j),(194-351j),(41-330j),(-113-267j),(-256-152j),(-380+1j),(-471+179j),(-510+368j),(-515+533j),(-481+698j),(-362+824j),(-234+894j),(-97+890j),(56+817j),(188+679j),(295+459j),(295+201j),(146-15j),(8+1j),(114+61j),(304-108j),(384-331j),(379-549j),(298-745j),(212-880j),(109-963j),(-5-991j),(-117-976j),(-227-914j),(-342-788j),(-423-628j),(-450-437j),(-429-234j),(-367-44j),(-282+140j),(-140+287j),(-3+365j),(139+420j),(289+425j),(443+366j),(542+264j),(595+127j),(591-51j),(533-205j),(385-346j),(259-412j),(10245+0j),(-8192-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437738.2839034,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(302-264j),(207-313j),(106-333j),(-16-315j),(-112-239j),(-162-135j),(-178-12j),(-143+113j),(-77+228j),(10+332j),(126+414j),(261+464j),(396+467j),(514+440j),(602+369j),(656+276j),(656+160j),(592+22j),(512-100j),(364-211j),(167-309j),(-52-344j),(-272-345j),(-493-280j),(-655-162j),(-748+51j),(-665+269j),(-335+365j),(8+1j),(-158-494j),(-520-526j),(-696-392j),(-688-230j),(-619-55j),(-474+53j),(-300+128j),(-114+185j),(75+195j),(262+187j),(444+129j),(594+53j),(692-56j),(742-162j),(736-274j),(699-381j),(586-458j),(468-502j),(327-508j),(168-482j),(5-415j),(-123-305j),(-213-154j),(-263+19j),(-236+183j),(-121+331j),(7+388j),(10245+0j),(-8448-32640j),(4+0j),(-635-1060j)
588694e59b10,1718437738.4406312,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-110-49j),(-180-12j),(-233+49j),(-265+176j),(-242+285j),(-199+392j),(-133+465j),(-30+511j),(59+511j),(143+483j),(222+407j),(269+305j),(307+161j),(301+7j),(272-167j),(200-340j),(97-505j),(-50-618j),(-171-725j),(-297-775j),(-453-779j),(-567-709j),(-631-626j),(-663-473j),(-630-293j),(-527-93j),(-349+73j),(-89+117j),(8+1j),(-138+34j),(-180+281j),(-115+514j),(24+682j),(183+813j),(306+871j),(430+901j),(511+877j),(593+812j),(633+722j),(657+584j),(649+428j),(598+261j),(506+81j),(371-67j),(232-209j),(62-298j),(-94-347j),(-246-372j),(-390-347j),(-517-271j),(-601-167j),(-633-38j),(-616+128j),(-546+278j),(-388+411j),(-274+453j),(10245+0j),(-8192-32640j),0j,(-635-1060j)
