mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
588694e59b10,1718437288.459456,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-152+651j),(49+680j),(237+649j),(424+529j),(532+371j),(549+177j),(526+21j),(405-132j),(257-237j),(81-304j),(-140-328j),(-346-306j),(-541-221j),(-705-122j),(-833+3j),(-904+149j),(-914+287j),(-882+424j),(-782+504j),(-681+591j),(-461+624j),(-259+627j),(-56+573j),(179+442j),(370+284j),(489+31j),(470-216j),(212-331j),(8+1j),(286+419j),(737+398j),(931+208j),(1036+33j),(975-149j),(894-274j),(776-360j),(608-394j),(438-401j),(241-378j),(25-318j),(-155-229j),(-310-102j),(-417+41j),(-494+183j),(-503+304j),(-485+444j),(-422+505j),(-331+584j),(-224+619j),(-66+625j),(69+571j),(212+478j),(327+298j),(377+120j),(333-110j),(227-245j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437289.2666197,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-382-533j),(-503-480j),(-615-394j),(-685-198j),(-657-23j),(-576+137j),(-447+239j),(-270+310j),(-85+346j),(123+349j),(342+305j),(548+232j),(751+133j),(908+20j),(1027-103j),(1100-234j),(1124-351j),(1084-474j),(1023-547j),(891-609j),(676-668j),(461-673j),(223-636j),(-45-555j),(-289-446j),(-289-446j),(-571+14j),(-371+224j),(8+1j),(-32-547j),(-414-769j),(-680-759j),(-822-685j),(-882-545j),(-861-429j),(-811-313j),(-705-198j),(-605-96j),(-482+26j),(-344+149j),(-188+252j),(-37+329j),(101+390j),(228+430j),(333+449j),(446+421j),(514+385j),(567+330j),(609+237j),(629+95j),(629+95j),(517-189j),(383-340j),(209-438j),(-36-461j),(-144-413j),(10245+0j),(-8704-32640j),(4+0j),(-635-1060j)
588694e59b10,1718437289.4380953,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(150+53j),(227-43j),(265-184j),(191-392j),(43-547j),(-130-660j),(-309-730j),(-504-716j),(-647-702j),(-766-636j),(-859-533j),(-889-406j),(-888-236j),(-809-78j),(-684+79j),(-519+230j),(-300+359j),(-54+450j),(172+527j),(406+556j),(647+537j),(843+459j),(964+395j),(1049+250j),(1062+73j),(958-145j),(703-324j),(282-334j),(8+1j),(133+274j),(310+134j),(324-72j),(204-266j),(40-433j),(-119-556j),(-286-634j),(-390-683j),(-526-698j),(-622-697j),(-712-644j),(-764-559j),(-786-455j),(-773-334j),(-736-208j),(-674-68j),(-574+77j),(-469+197j),(-337+310j),(-189+403j),(9+467j),(184+483j),(373+430j),(545+303j),(652+119j),(665-130j),(579-296j),(10245+0j),(-8704-32640j),0j,(-635-1060j)
588694e59b10,1718437290.0433831,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-222+707j),(-6+741j),(200+708j),(407+587j),(511+403j),(535+214j),(490+44j),(365-116j),(209-224j),(17-299j),(-203-322j),(-421-296j),(-629-217j),(-797-99j),(-925+36j),(-998+195j),(-1009+357j),(-955+513j),(-860+625j),(-706+703j),(-466+765j),(-227+742j),(8+657j),(247+503j),(439+297j),(547+19j),(492-253j),(195-362j),(8+1j),(333+392j),(769+295j),(961+71j),(996-134j),(916-329j),(795-430j),(643-495j),(468-506j),(300-470j),(125-418j),(-55-334j),(-203-223j),(-316-90j),(-390+43j),(-433+174j),(-432+298j),(-397+415j),(-330+493j),(-247+547j),(-123+585j),(47+576j),(186+517j),(317+393j),(428+211j),(453+3j),(373-240j),(235-375j),(10245+0j),(-8960-32640j),0j,(-635-1060j)
588694e59b10,1718437290.4355738,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-85+88j),(-65+162j),(-11+249j),(175+326j),(357+329j),(533+294j),(711+238j),(840+136j),(930+25j),(983-80j),(976-190j),(935-275j),(841-373j),(706-426j),(541-452j),(340-459j),(118-422j),(-106-366j),(-316-305j),(-526-206j),(-709-78j),(-836+58j),(-919+183j),(-932+326j),(-890+466j),(-717+596j),(-428+618j),(-72+428j),(8+1j),(-259-186j),(-375+9j),(-306+198j),(-125+325j),(87+408j),(271+458j),(450+484j),(585+472j),(710+446j),(802+411j),(866+345j),(883+253j),(871+158j),(821+58j),(759-39j),(655-144j),(521-245j),(386-318j),(233-381j),(71-423j),(-111-436j),(-266-400j),(-424-316j),(-560-176j),(-629+9j),(-602+236j),(-500+366j),(10245+0j),(-8704-32640j),0j,(-635-1060j)
588694e59b10,1718437291.4653149,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(591+69j),(589-6j),(573-73j),(514-215j),(405-299j),(286-337j),(165-332j),(30-273j),(-80-197j),(-189-96j),(-293+34j),(-382+170j),(-437+325j),(-481+462j),(-499+581j),(-489+687j),(-465+762j),(-399+802j),(-337+810j),(-256+778j),(-125+726j),(-9+622j),(101+503j),(211+342j),(292+165j),(339-32j),(286-208j),(97-263j),(8+1j),(255+278j),(576+235j),(732+115j),(789+5j),(781-109j),(724-172j),(657-221j),(546-244j),(434-248j),(311-262j),(170-269j),(29-266j),(-101-237j),(-214-199j),(-308-153j),(-382-106j),(-435-41j),(-458+17j),(-458+77j),(-438+149j),(-375+237j),(-305+287j),(-202+330j),(-63+355j),(69+323j),(203+235j),(270+205j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437292.4623084,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(299+342j),(365+255j),(404+162j),(426+4j),(365-129j),(275-220j),(165-257j),(37-247j),(-72-190j),(-161-105j),(-221+21j),(-238+145j),(-224+285j),(-169+411j),(-92+500j),(13+566j),(128+591j),(246+557j),(340+505j),(402+412j),(451+270j),(450+116j),(404-16j),(302-159j),(173-264j),(-4-300j),(-161-240j),(-202-67j),(8+1j),(138-229j),(-9-426j),(-177-471j),(-312-424j),(-397-322j),(-423-222j),(-421-103j),(-370-18j),(-302+71j),(-220+136j),(-110+182j),(-6+191j),(101+180j),(191+146j),(260+91j),(302+34j),(312-51j),(308-118j),(273-179j),(219-239j),(123-287j),(34-289j),(-65-255j),(-162-187j),(-217-82j),(-216+55j),(-209+134j),(10245+0j),(-8704-32640j),0j,(-635-1060j)
588694e59b10,1718437293.045647,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-585+609j),(-512+675j),(-436+718j),(-232+768j),(-59+732j),(84+625j),(172+493j),(214+305j),(211+107j),(187-88j),(112-309j),(24-497j),(-89-677j),(-207-831j),(-318-944j),(-436-1022j),(-527-1061j),(-620-1036j),(-662-979j),(-696-886j),(-723-703j),(-704-499j),(-654-305j),(-654-305j),(-419+192j),(-223+386j),(21+468j),(225+298j),(8+1j),(-505+100j),(-675+498j),(-644+756j),(-555+913j),(-409+960j),(-297+936j),(-199+875j),(-103+763j),(-11+614j),(78+468j),(169+294j),(242+130j),(289-46j),(317-200j),(331-344j),(327-451j),(285-551j),(238-601j),(179-639j),(97-664j),(-35-651j),(-147-598j),(-259-493j),(-369-338j),(-426-150j),(-399+82j),(-402+181j),(10245+0j),(-8704-32640j),(4+0j),(-635-1060j)
588694e59b10,1718437293.1030943,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-13+109j),(41+173j),(133+231j),(355+228j),(526+137j),(694+28j),(819-100j),(901-248j),(933-385j),(947-500j),(892-609j),(806-653j),(676-701j),(524-685j),(362-625j),(174-540j),(-18-404j),(-211-232j),(-390-86j),(-547+90j),(-668+300j),(-736+480j),(-770+627j),(-724+775j),(-626+883j),(-407+913j),(-119+813j),(126+465j),(8+1j),(-339-73j),(-356+147j),(-201+292j),(27+321j),(270+290j),(476+247j),(662+188j),(787+116j),(910+28j),(970-47j),(996-141j),(976-231j),(919-311j),(820-366j),(701-408j),(552-448j),(376-451j),(224-450j),(54-428j),(-111-382j),(-286-298j),(-419-181j),(-516-42j),(-564+159j),(-543+357j),(-400+549j),(-241+611j),(10245+0j),(-8704-32640j),(384+0j),(-635-1060j)
588694e59b10,1718437293.439459,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-197-89j),(-166+76j),(-104+227j),(4+396j),(142+524j),(282+610j),(423+696j),(544+736j),(644+758j),(710+763j),(746+736j),(744+674j),(739+588j),(683+483j),(591+348j),(490+188j),(368+11j),(247-185j),(140-373j),(29-561j),(-109-737j),(-202-871j),(-288-963j),(-369-997j),(-458-977j),(-544-831j),(-565-569j),(-420-200j),(8+1j),(287-156j),(173-295j),(3-289j),(-168-186j),(-345-20j),(-499+90j),(-625+195j),(-725+287j),(-817+345j),(-880+404j),(-903+446j),(-884+466j),(-837+473j),(-760+466j),(-673+452j),(-546+449j),(-385+428j),(-246+408j),(-96+390j),(68+364j),(239+310j),(389+242j),(509+135j),(608-11j),(650-169j),(608-364j),(553-479j),(10245+0j),(-8704-32640j),0j,(-635-1060j)
