mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
588694e59b10,1718437538.160389,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-731-467j),(-801-163j),(-744+115j),(-581+349j),(-345+428j),(-118+385j),(47+224j),(111+0j),(69-242j),(-49-460j),(-265-617j),(-499-678j),(-775-654j),(-981-542j),(-1101-361j),(-1141-141j),(-1073+47j),(-890+229j),(-662+318j),(-386+296j),(-87+195j),(119-27j),(281-280j),(302-594j),(190-874j),(-90-1003j),(-415-900j),(-551-430j),(8+1j),(633-344j),(536-848j),(237-1024j),(-18-967j),(-216-763j),(-289-522j),(-290-272j),(-218-30j),(-75+158j),(87+318j),(298+409j),(490+419j),(664+353j),(791+242j),(854+78j),(853-106j),(734-273j),(597-418j),(393-492j),(153-503j),(-101-423j),(-295-242j),(-401-5j),(-387+293j),(-222+544j),(99+678j),(401+635j),(10245+0j),(-8704-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437545.893625,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(168+105j),(190+118j),(224+142j),(309+206j),(407+249j),(510+263j),(602+266j),(668+213j),(682+174j),(664+128j),(589+72j),(460+29j),(289-23j),(94-56j),(-120-77j),(-341-90j),(-565-80j),(-768-57j),(-917-42j),(-1034-22j),(-1077+36j),(-1086+105j),(-1011+122j),(-889+163j),(-712+211j),(-454+234j),(-209+205j),(11+76j),(8+1j),(-42+198j),(121+466j),(321+628j),(536+732j),(536+732j),(812+748j),(908+726j),(919+658j),(942+565j),(922+443j),(882+268j),(806+83j),(702-109j),(577-288j),(446-443j),(300-572j),(147-661j),(8-699j),(-115-717j),(-242-697j),(-384-612j),(-464-520j),(-536-374j),(-586-177j),(-566+27j),(-465+243j),(-367+348j),(10245+0j),(-8704-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437546.190684,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-17-82j),(-23-128j),(-45-190j),(-109-300j),(-205-379j),(-300-434j),(-396-462j),(-484-437j),(-527-415j),(-541-370j),(-518-303j),(-448-223j),(-349-133j),(-216-47j),(-63+34j),(109+116j),(298+180j),(484+217j),(629+259j),(760+281j),(855+255j),(905+219j),(889+190j),(841+122j),(733+32j),(561-65j),(355-124j),(103-97j),(8+1j),(32-46j),(-14-241j),(-116-397j),(-254-520j),(-388-602j),(-473-646j),(-557-664j),(-590-645j),(-631-601j),(-642-517j),(-641-397j),(-606-255j),(-549-105j),(-464+45j),(-372+185j),(-262+310j),(-141+400j),(-27+457j),(80+489j),(186+488j),(297+445j),(365+378j),(416+272j),(450+134j),(427-15j),(346-161j),(270-230j),(10245+0j),(-8192-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437546.3035696,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(29-136j),(106-107j),(189-118j),(277-147j),(354-211j),(402-279j),(440-360j),(428-428j),(415-468j),(365-488j),(286-475j),(192-419j),(83-325j),(-10-198j),(-113-38j),(-191+141j),(-251+332j),(-281+514j),(-301+667j),(-293+815j),(-220+913j),(-132+978j),(-56+979j),(70+902j),(186+765j),(302+532j),(321+262j),(183-5j),(8+1j),(114+135j),(396+11j),(565-207j),(634-438j),(610-671j),(556-834j),(453-966j),(332-1019j),(174-1042j),(-8-1021j),(-215-926j),(-401-807j),(-561-631j),(-667-434j),(-742-233j),(-767-26j),(-741+167j),(-674+304j),(-586+429j),(-465+520j),(-278+591j),(-103+593j),(88+535j),(284+397j),(422+211j),(471-55j),(439-225j),(10245+0j),(-8704-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437546.5929732,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-365+665j),(-230+675j),(-116+652j),(55+591j),(148+462j),(171+311j),(117+155j),(-5+25j),(-175-75j),(-360-137j),(-572-142j),(-734-117j),(-896-30j),(-1002+68j),(-1030+164j),(-1007+271j),(-911+339j),(-727+379j),(-541+357j),(-316+273j),(-82+133j),(121-64j),(289-278j),(372-537j),(366-758j),(220-913j),(-32-915j),(-273-565j),(8+1j),(619+60j),(785-280j),(679-486j),(473-519j),(241-436j),(38-291j),(-124-93j),(-249+108j),(-322+339j),(-359+524j),(-338+707j),(-280+837j),(-181+917j),(-73+923j),(42+859j),(135+765j),(202+607j),(233+450j),(245+276j),(221+111j),(173-68j),(73-213j),(-45-324j),(-201-383j),(-378-380j),(-569-270j),(-659-175j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437546.7485926,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(333+716j),(499+533j),(576+330j),(595+97j),(496-77j),(330-164j),(153-137j),(7-14j),(-87+173j),(-86+399j),(-1+612j),(162+778j),(409+881j),(631+879j),(816+778j),(953+597j),(972+377j),(893+129j),(708-53j),(436-159j),(104-155j),(-189-21j),(-417+185j),(-525+481j),(-492+782j),(-251+990j),(111+962j),(386+539j),(8+1j),(-623+147j),(-607+594j),(-350+754j),(-103+673j),(80+450j),(154+187j),(132-85j),(36-320j),(-130-512j),(-326-631j),(-555-676j),(-738-625j),(-891-496j),(-960-324j),(-972-138j),(-886+52j),(-710+208j),(-535+294j),(-317+317j),(-105+281j),(93+170j),(214+1j),(265-208j),(205-437j),(25-612j),(-272-671j),(-272-671j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437546.8871884,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(77-84j),(19-118j),(-43-151j),(-96-240j),(-170-311j),(-250-355j),(-317-389j),(-382-381j),(-409-370j),(-413-345j),(-395-295j),(-328-241j),(-244-160j),(-122-82j),(17+0j),(164+85j),(328+164j),(489+219j),(610+276j),(726+315j),(799+309j),(838+281j),(817+271j),(760+206j),(662+110j),(505-2j),(310-79j),(81-75j),(8+1j),(66-64j),(67-272j),(2-444j),(-88-587j),(-176-671j),(-216-728j),(-275-741j),(-275-711j),(-294-652j),(-305-564j),(-315-431j),(-304-281j),(-283-124j),(-254+36j),(-215+191j),(-176+323j),(-119+440j),(-63+518j),(-15+569j),(40+598j),(123+598j),(173+562j),(240+508j),(307+401j),(344+283j),(345+138j),(352+64j),(10245+0j),(-8448-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437547.904781,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(-600-6j),(-585+134j),(-536+240j),(-479+312j),(-383+304j),(-277+278j),(-203+198j),(-70+100j),(27+11j),(173-96j),(330-214j),(458-317j),(563-421j),(666-484j),(714-476j),(763-473j),(735-431j),(682-392j),(567-343j),(403-295j),(174-232j),(-45-224j),(-251-216j),(-510-177j),(-690-135j),(-789-68j),(-747+63j),(-501+220j),(8+1j),(216-528j),(21-828j),(-113-888j),(-177-800j),(-244-681j),(-296-469j),(-300-309j),(-352-157j),(-385+40j),(-449+183j),(-489+312j),(-512+413j),(-548+492j),(-513+536j),(-449+527j),(-373+527j),(-263+486j),(-199+454j),(-99+431j),(52+383j),(172+359j),(290+302j),(411+243j),(515+181j),(625+113j),(663-42j),(646-193j),(10241+0j),(-20736-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437548.8861568,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(499+383j),(597+154j),(590-67j),(475-253j),(313-323j),(172-293j),(103-188j),(136-63j),(267+19j),(438+26j),(617-81j),(733-265j),(758-525j),(677-767j),(491-931j),(244-1014j),(6-960j),(-206-791j),(-300-554j),(-254-315j),(-74-109j),(176-34j),(451-77j),(633-303j),(689-617j),(482-905j),(81-981j),(-326-598j),(8+1j),(666-185j),(588-730j),(224-922j),(-109-829j),(-299-517j),(-325-203j),(-171+72j),(67+230j),(373+257j),(632+155j),(815-98j),(847-381j),(738-673j),(500-853j),(196-932j),(-118-847j),(-337-620j),(-449-358j),(-429-81j),(-302+153j),(-65+294j),(184+312j),(410+188j),(555-57j),(539-359j),(330-636j),(52-740j),(10245+0j),(-8960-32640j),(128+0j),(-635-1060j)
588694e59b10,1718437549.1793714,(1-19j),(-671-1373j),(-661-1486j),(-641-1578j),(19-175j),(-51-230j),(-125-288j),(-258-389j),(-403-448j),(-524-470j),(-636-476j),(-694-435j),(-713-394j),(-693-350j),(-627-277j),(-518-193j),(-363-84j),(-183+14j),(6+120j),(207+229j),(415+333j),(607+420j),(745+500j),(871+570j),(944+574j),(962+563j),(930+528j),(848+438j),(727+303j),(548+131j),(334-2j),(75-51j),(8+1j),(135-93j),(205-380j),(206-615j),(170-818j),(104-964j),(80-1042j),(46-1078j),(9-1055j),(-43-990j),(-119-884j),(-219-723j),(-305-549j),(-380-340j),(-445-137j),(-493+59j),(-527+239j),(-520+397j),(-492+492j),(-464+566j),(-408+617j),(-310+649j),(-226+634j),(-112+594j),(32+522j),(141+416j),(237+257j),(268+158j),(10245+0j),(-8704-32640j),(128+0j),(-635-1060j)
